rule,conditions,specificity,occurrences,penetration_%,avg_win,avg_rows,coverage_%,impact_score,roi_win_per_row,recommendation
(Avg_Utilization_Ratio > 0.125),1,BROAD,1,2.0%,-16.0,15.0,22.1%,-3.49,-1.07,❌ AVOID (negative)
(Customer_Age <= 48) AND (Avg_Utilization_Ratio <= 0.063),2,NESTED (2 conditions),1,2.0%,-39.0,9.0,13.3%,-3.61,-4.33,❌ AVOID (negative)
(card_Category == Blue) AND (Avg_Utilization_Ratio <= 0),2,NESTED (2 conditions),4,8.0%,-44.5,8.2,12.2%,-3.77,-5.39,❌ AVOID (negative)
(Total_Trans_Ct <= 71),1,BROAD,1,2.0%,-24.0,12.0,17.7%,-4.19,-2.00,❌ AVOID (negative)
(Total_Trans_Amt <= 5638),1,BROAD,1,2.0%,-13.0,23.0,33.9%,-4.35,-0.57,❌ AVOID (negative)
(Avg_Utilization_Ratio > 0.138),1,BROAD,1,2.0%,-26.0,12.0,17.7%,-4.54,-2.17,❌ AVOID (negative)
(Avg_Utilization_Ratio > 0.146),1,BROAD,1,2.0%,-37.0,9.0,13.3%,-4.84,-4.11,❌ AVOID (negative)
(Customer_Age <= 48),1,BROAD,1,2.0%,-25.0,15.0,22.1%,-5.45,-1.67,❌ AVOID (negative)
(Avg_Utilization_Ratio > 0.094),1,BROAD,1,2.0%,-25.0,15.0,22.1%,-5.45,-1.67,❌ AVOID (negative)
(Avg_Utilization_Ratio <= 0),1,BROAD,5,10.0%,-38.6,10.2,15.0%,-5.72,-3.78,❌ AVOID (negative)
(Total_Trans_Ct <= 92),1,BROAD,1,2.0%,-18.0,22.0,32.5%,-5.76,-0.82,❌ AVOID (negative)
(card_Category == Blue),1,BROAD,16,32.0%,-19.0,22.4,33.1%,-6.20,-0.85,❌ AVOID (negative)
(card_Category == Blue) AND (CLIENTNUM > 711398433),2,NESTED (2 conditions),1,2.0%,-55.0,12.0,17.7%,-6.79,-4.58,❌ AVOID (negative)
